metric_id,category,subcategory,present_in_all_input_chunks,n_present_rows,n_scored,n_error,n_not_applicable,error_rate_among_present_rows,non_scored_rate_among_present_rows,n_values_mean_imputed,variance_after_imputation,applicability_tier,preprocessing_outcome,retained_for_pooled_efa,analyzed_as_conditional
Accuracy_Basic_Factual_Accuracy,Accuracy,Basic Factual Accuracy,True,1000,999,0,1,0.0,0.0010000000000000009,1,1.5110325540755973,core,core_retained,True,False
Accuracy_Domain_Knowledge_Accuracy,Accuracy,Domain Knowledge Accuracy,True,1000,1000,0,0,0.0,0.0,0,1.6627817817817814,core,core_retained,True,False
Accuracy_Expresses_Uncertainty,Accuracy,Expresses Uncertainty,True,1000,161,1,838,0.001,0.839,0,,rare,fewer_than_200_applicable_convos,False,False
Accuracy_Expresses_Uncertainty_expresses_uncertainty_when,Accuracy,Expresses Uncertainty,True,1000,202,0,798,0.0,0.798,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Accuracy_Knowledge_Dimension,Accuracy,Knowledge Dimension,True,1000,997,0,3,0.0,0.0030000000000000027,3,1.542894951119625,core,core_retained,True,False
Accuracy_No_Contradiction,Accuracy,No Contradiction,True,1000,1000,0,0,0.0,0.0,0,1.0684434434434436,core,core_retained,True,False
Accuracy_No_Inaccuracies,Accuracy,No Inaccuracies,True,1000,1000,0,0,0.0,0.0,0,1.7271631631631632,core,core_retained,True,False
Accuracy_Reasoning_Process_Rigor,Accuracy,Reasoning Process Rigor,True,1000,971,0,29,0.0,0.029000000000000026,29,1.7642482853605408,core,core_retained,True,False
Accuracy_Truthfulness,Accuracy,Truthfulness,True,1000,994,0,6,0.0,0.006000000000000005,6,1.717356189187175,core,core_retained,True,False
Adaptivity_Accessibility,Adaptivity,Accessibility,True,1000,0,0,1000,0.0,1.0,0,,rare,fewer_than_200_applicable_convos,False,False
Adaptivity_Adapt_to_the_learners_level,Adaptivity,Adapt to the learner’s level,True,1000,1000,0,0,0.0,0.0,0,1.7327087087087087,core,core_retained,True,False
Adaptivity_Adaptability,Adaptivity,Adaptability,True,1000,1000,0,0,0.0,0.0,0,1.5775525525525524,core,core_retained,True,False
Adaptivity_Adapts_to_Needs,Adaptivity,Adapts to Needs,True,1000,1000,0,0,0.0,0.0,0,1.9455455455455455,core,core_retained,True,False
Adaptivity_Appropriate_Response_Length,Adaptivity,Appropriate Response Length,True,1000,1000,0,0,0.0,0.0,0,1.8035545545545548,core,core_retained,True,False
Adaptivity_Background_Based_Material_Recommendation,Adaptivity,Background-Based Material Recommendation,True,1000,77,0,923,0.0,0.923,0,,rare,fewer_than_200_applicable_convos,False,False
Adaptivity_Continuous_assessment,Adaptivity,Continuous assessment,True,1000,1000,0,0,0.0,0.0,0,1.6433143143143139,core,core_retained,True,False
Adaptivity_Guides_Appropriately,Adaptivity,Guides Appropriately,True,1000,1000,0,0,0.0,0.0,0,2.3429989989989988,core,core_retained,True,False
Adaptivity_Guides_Appropriately_does_not_withhold,Adaptivity,Guides Appropriately,True,1000,1000,0,0,0.0,0.0,0,2.1445195195195197,core,core_retained,True,False
Adaptivity_Instructional_Adaptation_Effectiveness,Adaptivity,Instructional Adaptation Effectiveness,True,1000,1000,0,0,0.0,0.0,0,2.0611171171171168,core,core_retained,True,False
Adaptivity_Leveled_Concept_Explanation,Adaptivity,Leveled Concept Explanation,True,1000,1000,0,0,0.0,0.0,0,1.5503093093093092,core,core_retained,True,False
Adaptivity_Leveling,Adaptivity,Leveling,True,1000,1000,0,0,0.0,0.0,0,1.8355795795795795,core,core_retained,True,False
Adaptivity_Leveling_the_tutors_explanations,Adaptivity,Leveling,True,1000,1000,0,0,0.0,0.0,0,1.6486236236236236,core,core_retained,True,False
Adaptivity_Pedagogical_Principle_Criteria_Challenge,Adaptivity,Pedagogical Principle Criteria: Challenge,True,1000,1000,0,0,0.0,0.0,0,1.806750750750751,core,core_retained,True,False
Adaptivity_Personalization_Adaptation__Learning_Support,Adaptivity,"Personalization, Adaptation & Learning Support",True,1000,1000,0,0,0.0,0.0,0,1.8272022022022023,core,core_retained,True,False
Adaptivity_Proactive,Adaptivity,Proactive,True,1000,1000,0,0,0.0,0.0,0,1.9342182182182184,core,core_retained,True,False
Adaptivity_Scenario_Element_Integration,Adaptivity,Scenario Element Integration,True,1000,1000,0,0,0.0,0.0,0,1.5479639639639642,core,core_retained,True,False
Adaptivity_Student_level_calibration,Adaptivity,Student-level calibration,True,1000,1000,0,0,0.0,0.0,0,1.7004914914914913,core,core_retained,True,False
Adaptivity_Unstuck,Adaptivity,Unstuck,True,1000,743,0,257,0.0,0.257,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Adaptivity_Unstuck_effectively_adapts_its,Adaptivity,Unstuck,True,1000,982,0,18,0.0,0.018000000000000016,18,2.039833112134538,core,core_retained,True,False
Affect_and_Relational_Support_Adapts_to_Affect,Affect and Relational Support,Adapts to Affect,True,1000,325,0,675,0.0,0.675,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Adapts_to_Affect_responds_effectively_if,Affect and Relational Support,Adapts to Affect,True,1000,610,0,390,0.0,0.39,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Communicate_with_positive_tone,Affect and Relational Support,Communicate with positive tone,True,1000,1000,0,0,0.0,0.0,0,2.1374614614614615,core,core_retained,True,False
Affect_and_Relational_Support_Cultural_analogies,Affect and Relational Support,Cultural analogies,True,1000,948,0,52,0.0,0.052000000000000046,52,1.7520769714862543,core,core_retained,True,False
Affect_and_Relational_Support_Emotional_component_calibration,Affect and Relational Support,Emotional component calibration,True,1000,1000,0,0,0.0,0.0,0,1.8378368368368367,core,core_retained,True,False
Affect_and_Relational_Support_Fluency,Affect and Relational Support,Fluency,True,1000,1000,0,0,0.0,0.0,0,1.7378968968968969,core,core_retained,True,False
Affect_and_Relational_Support_Human_likeness,Affect and Relational Support,Human-likeness,True,1000,1000,0,0,0.0,0.0,0,1.48116016016016,core,core_retained,True,False
Affect_and_Relational_Support_Learning_Exploration,Affect and Relational Support,Learning Exploration,True,1000,1000,0,0,0.0,0.0,0,1.66414014014014,core,core_retained,True,False
Affect_and_Relational_Support_Moral_responsibility,Affect and Relational Support,Moral responsibility,True,1000,153,0,847,0.0,0.847,0,,rare,fewer_than_200_applicable_convos,False,False
Affect_and_Relational_Support_Respond_appropriately_to_explicit_affect_cues,Affect and Relational Support,Respond appropriately to explicit affect cues,True,1000,450,0,550,0.0,0.55,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Role__Tone_Consistency,Affect and Relational Support,Role & Tone Consistency,True,1000,1000,0,0,0.0,0.0,0,1.75654054054054,core,core_retained,True,False
Affect_and_Relational_Support_Speaks_encouragingly,Affect and Relational Support,Speaks encouragingly,True,1000,996,0,4,0.0,0.0040000000000000036,4,1.9158063686176139,core,core_retained,True,False
Affect_and_Relational_Support_Style_and_Tone,Affect and Relational Support,Style and Tone,True,1000,1000,0,0,0.0,0.0,0,1.8411601601601602,core,core_retained,True,False
Affect_and_Relational_Support_Tutor_tone,Affect and Relational Support,Tutor tone,True,1000,1000,0,0,0.0,0.0,0,1.3221181181181179,core,core_retained,True,False
Affect_and_Relational_Support_Warm,Affect and Relational Support,Warm,True,1000,1000,0,0,0.0,0.0,0,1.4675865865865865,core,core_retained,True,False
Affect_and_Relational_Support_Well_intentioned,Affect and Relational Support,Well-intentioned,True,1000,1000,0,0,0.0,0.0,0,0.6643283283283281,core,core_retained,True,False
Alignment_to_Constraints_Academic_Integrity__Honesty,Alignment to Constraints,Academic Integrity & Honesty,True,1000,795,0,205,0.0,0.20499999999999996,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Alignment_to_Constraints_Coherence,Alignment to Constraints,Coherence,True,1000,1000,0,0,0.0,0.0,0,1.7335085085085087,core,core_retained,True,False
Alignment_to_Constraints_Conciseness_and_Relevance,Alignment to Constraints,Conciseness and Relevance,True,1000,1000,0,0,0.0,0.0,0,1.75606006006006,core,core_retained,True,False
Alignment_to_Constraints_Content_Relevance__Scope_Control,Alignment to Constraints,Content Relevance & Scope Control,True,1000,1000,0,0,0.0,0.0,0,1.590034034034034,core,core_retained,True,False
Alignment_to_Constraints_Coverage,Alignment to Constraints,Coverage,True,1000,528,0,472,0.0,0.472,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Alignment_to_Constraints_Dont_reveal_the_answer,Alignment to Constraints,Don't reveal the answer,True,1000,1000,0,0,0.0,0.0,0,2.351790790790791,core,core_retained,True,False
Alignment_to_Constraints_Guides_to_Answer,Alignment to Constraints,Guides to Answer,True,1000,1000,0,0,0.0,0.0,0,1.5658018018018018,core,core_retained,True,False
Alignment_to_Constraints_Instruction_Following__Task_Completion,Alignment to Constraints,Instruction Following & Task Completion,True,1000,1000,0,0,0.0,0.0,0,1.7466426426426425,core,core_retained,True,False
Alignment_to_Constraints_Instruction_following,Alignment to Constraints,Instruction following,True,1000,990,0,10,0.0,0.010000000000000009,10,1.9999635999636005,core,core_retained,True,False
Alignment_to_Constraints_No_Contradiction,Alignment to Constraints,No Contradiction,True,1000,999,0,1,0.0,0.0010000000000000009,1,1.1290389488587687,core,core_retained,True,False
Alignment_to_Constraints_No_Irrelevant_Info,Alignment to Constraints,No Irrelevant Info,True,1000,1000,0,0,0.0,0.0,0,1.571887887887888,core,core_retained,True,False
Alignment_to_Constraints_No_Refusals,Alignment to Constraints,No Refusals,True,1000,1000,0,0,0.0,0.0,0,1.3804194194194193,core,core_retained,True,False
Alignment_to_Constraints_No_Repetition,Alignment to Constraints,No Repetition,True,1000,1000,0,0,0.0,0.0,0,1.9082832832832832,core,core_retained,True,False
Alignment_to_Constraints_No_Repetition_avoids_repeating_information,Alignment to Constraints,No Repetition,True,1000,1000,0,0,0.0,0.0,0,1.6217977977977978,core,core_retained,True,False
Alignment_to_Constraints_Privacy__Consent,Alignment to Constraints,Privacy & Consent,True,1000,37,0,963,0.0,0.963,0,,rare,fewer_than_200_applicable_convos,False,False
Alignment_to_Constraints_Relevance,Alignment to Constraints,Relevance,True,1000,946,0,54,0.0,0.05400000000000005,54,0.9245355291866919,core,core_retained,True,False
Alignment_to_Constraints_Responsibility_and_Ethics,Alignment to Constraints,Responsibility and Ethics,True,1000,121,0,879,0.0,0.879,0,,rare,fewer_than_200_applicable_convos,False,False
Alignment_to_Constraints_Revealing_of_the_answer,Alignment to Constraints,Revealing of the answer,True,1000,948,10,42,0.01,0.052000000000000046,52,1.5077725404729625,core,core_retained,True,False
Alignment_to_Constraints_Stay_on_topic,Alignment to Constraints,Stay on topic,True,1000,716,0,284,0.0,0.28400000000000003,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Alignment_to_Constraints_Strategic_Deception_Signals,Alignment to Constraints,Strategic Deception Signals,True,1000,165,0,835,0.0,0.835,0,,rare,fewer_than_200_applicable_convos,False,False
