Source,Higher order category,Category definition,Metric dimension,Metric / Prompt definition,Metric code,Evaluation Type,Unit of observation,Dataset,Subject,Scale,Evaluation method,Judge Model
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Manage Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Explains concepts,Explains the underlying concepts or skills in a clear way that is easy for the student to understand,Instructional Support,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Promotes engagement,"Keeps the student actively participating (for example, through questions or practice problems that the student has to answer)",Engagement and Motivation,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Encourage Active Learning,"The learner should manipulate information through discussion, practice, and creation, instead of passively absorbing information.",Guides student,Guides student to an answer with appropriate steps,Instructional Support,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen Metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Identifies mistakes,Provides clear feedback identifying any mistakes made by the student,Mistake Handling,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Deepen Metacognition,"“Thinking about thinking”, which enables learners to generalise their skills beyond a single context.",Identifies successes,"Provides clear feedback pointing out “successes” by the student (for example, on the student’s skills, problem-solving, work, knowledge, etc.)",Engagement and Motivation,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivate and Stimulate Curiosity,Leads to self-efficacy and lifelong learning.,Inspires interest,Inspires and stimulates the interest or curiosity of the student,Engagement and Motivation,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivate and Stimulate Curiosity,Leads to self-efficacy and lifelong learning.,Monitors motivation,Monitors the student’s motivational state and adjusts responses accordingly,Engagement and Motivation,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Motivate and Stimulate Curiosity,Leads to self-efficacy and lifelong learning.,Speaks encouragingly,Delivers feedback (whether positive or negative) in an encouraging way,Affect and Relational Support,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Adapt to Learners’ Goals and Needs,"Assessing the current state and the goals, and making a plan to bridge the gap.",Identifies goal,Identifies the student’s goal or prior knowledge,Understanding Learner Goals,Tutor,Turn-level pedagogy rubric,LearnLM-Tutor single-turn responses,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",Boolean,Human eval through Prolific,n/a
"(Jurenka et al., 2024) – LearnLM Responsible AI for Education",Cognitive Load,"The tutor should present information in multiple modalities, structure it well, and segment it into manageable chunks.",Manageable Chunks,The tutor breaks information down into manageable chunks.,Instructional Support,Tutor,Side-by-side conversation-level pedagogy rubric,LearnLM-Tutor conversation,"High-school learning topic (maths, biology, chemistry, history, literature, CS, physics, public speaking, writing or interview skills)",5-point Likert scale anchored with Strongly agree and Strongly disagree,Human eval through Prolific,n/a
