metric_id,category,subcategory,present_in_all_input_chunks,n_present_rows,n_scored,n_error,n_not_applicable,error_rate_among_present_rows,non_scored_rate_among_present_rows,n_values_mean_imputed,variance_after_imputation,applicability_tier,preprocessing_outcome,retained_for_pooled_efa,analyzed_as_conditional
Accuracy_Basic_Factual_Accuracy,Accuracy,Basic Factual Accuracy,True,1000,997,0,3,0.0,0.0030000000000000027,3,0.8613387710679585,core,core_retained,True,False
Accuracy_Domain_Knowledge_Accuracy,Accuracy,Domain Knowledge Accuracy,True,1000,998,0,2,0.0,0.0020000000000000018,2,0.8084687894307132,core,core_retained,True,False
Accuracy_Expresses_Uncertainty,Accuracy,Expresses Uncertainty,True,1000,733,0,267,0.0,0.267,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Accuracy_Expresses_Uncertainty_expresses_uncertainty_when,Accuracy,Expresses Uncertainty,True,1000,880,0,120,0.0,0.12,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Accuracy_Knowledge_Dimension,Accuracy,Knowledge Dimension,True,1000,1000,0,0,0.0,0.0,0,0.7909019019019018,core,core_retained,True,False
Accuracy_No_Contradiction,Accuracy,No Contradiction,True,1000,999,0,1,0.0,0.0010000000000000009,1,1.6665995324653984,core,core_retained,True,False
Accuracy_No_Inaccuracies,Accuracy,No Inaccuracies,True,1000,999,0,1,0.0,0.0010000000000000009,1,1.218373528683839,core,core_retained,True,False
Accuracy_Reasoning_Process_Rigor,Accuracy,Reasoning Process Rigor,True,1000,998,0,2,0.0,0.0020000000000000018,2,0.9586189395808635,core,core_retained,True,False
Accuracy_Truthfulness,Accuracy,Truthfulness,True,1000,1000,0,0,0.0,0.0,0,0.933012012012012,core,core_retained,True,False
Adaptivity_Accessibility,Adaptivity,Accessibility,True,1000,120,0,880,0.0,0.88,0,,rare,fewer_than_200_applicable_convos,False,False
Adaptivity_Adapt_to_the_learners_level,Adaptivity,Adapt to the learner’s level,True,1000,1000,0,0,0.0,0.0,0,0.7586586586586588,core,core_retained,True,False
Adaptivity_Adaptability,Adaptivity,Adaptability,True,1000,999,0,1,0.0,0.0010000000000000009,1,0.85308732155579,core,core_retained,True,False
Adaptivity_Adapts_to_Needs,Adaptivity,Adapts to Needs,True,1000,1000,0,0,0.0,0.0,0,0.9054244244244244,core,core_retained,True,False
Adaptivity_Appropriate_Response_Length,Adaptivity,Appropriate Response Length,True,1000,1000,0,0,0.0,0.0,0,0.46970870870870857,core,core_retained,True,False
Adaptivity_Background_Based_Material_Recommendation,Adaptivity,Background-Based Material Recommendation,True,1000,95,0,905,0.0,0.905,0,,rare,fewer_than_200_applicable_convos,False,False
Adaptivity_Continuous_assessment,Adaptivity,Continuous assessment,True,1000,1000,0,0,0.0,0.0,0,1.0154544544544546,core,core_retained,True,False
Adaptivity_Guides_Appropriately,Adaptivity,Guides Appropriately,True,1000,998,0,2,0.0,0.0020000000000000018,2,0.8784546069115206,core,core_retained,True,False
Adaptivity_Guides_Appropriately_does_not_withhold,Adaptivity,Guides Appropriately,True,1000,1000,0,0,0.0,0.0,0,1.140251251251251,core,core_retained,True,False
Adaptivity_Instructional_Adaptation_Effectiveness,Adaptivity,Instructional Adaptation Effectiveness,True,1000,999,0,1,0.0,0.0010000000000000009,1,0.9657405152900648,core,core_retained,True,False
Adaptivity_Leveled_Concept_Explanation,Adaptivity,Leveled Concept Explanation,True,1000,1000,0,0,0.0,0.0,0,1.073937937937938,core,core_retained,True,False
Adaptivity_Leveling,Adaptivity,Leveling,True,1000,1000,0,0,0.0,0.0,0,0.9350140140140141,core,core_retained,True,False
Adaptivity_Leveling_the_tutors_explanations,Adaptivity,Leveling,True,1000,1000,0,0,0.0,0.0,0,0.6701701701701702,core,core_retained,True,False
Adaptivity_Pedagogical_Principle_Criteria_Challenge,Adaptivity,Pedagogical Principle Criteria: Challenge,True,1000,1000,0,0,0.0,0.0,0,0.9168808808808809,core,core_retained,True,False
Adaptivity_Personalization_Adaptation__Learning_Support,Adaptivity,"Personalization, Adaptation & Learning Support",True,1000,1000,0,0,0.0,0.0,0,0.8703413413413412,core,core_retained,True,False
Adaptivity_Proactive,Adaptivity,Proactive,True,1000,1000,0,0,0.0,0.0,0,0.8465225225225228,core,core_retained,True,False
Adaptivity_Scenario_Element_Integration,Adaptivity,Scenario Element Integration,True,1000,1000,0,0,0.0,0.0,0,0.8626376376376373,core,core_retained,True,False
Adaptivity_Student_level_calibration,Adaptivity,Student-level calibration,True,1000,1000,0,0,0.0,0.0,0,0.8674914914914915,core,core_retained,True,False
Adaptivity_Unstuck,Adaptivity,Unstuck,True,1000,865,0,135,0.0,0.135,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Adaptivity_Unstuck_effectively_adapts_its,Adaptivity,Unstuck,True,1000,1000,0,0,0.0,0.0,0,1.0087527527527527,core,core_retained,True,False
Affect_and_Relational_Support_Adapts_to_Affect,Affect and Relational Support,Adapts to Affect,True,1000,360,0,640,0.0,0.64,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Adapts_to_Affect_responds_effectively_if,Affect and Relational Support,Adapts to Affect,True,1000,336,0,664,0.0,0.6639999999999999,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Communicate_with_positive_tone,Affect and Relational Support,Communicate with positive tone,True,1000,1000,0,0,0.0,0.0,0,1.1528168168168171,core,core_retained,True,False
Affect_and_Relational_Support_Cultural_analogies,Affect and Relational Support,Cultural analogies,True,1000,961,0,39,0.0,0.039000000000000035,39,0.8139565163498564,core,core_retained,True,False
Affect_and_Relational_Support_Emotional_component_calibration,Affect and Relational Support,Emotional component calibration,True,1000,999,0,1,0.0,0.0010000000000000009,1,0.804830856882909,core,core_retained,True,False
Affect_and_Relational_Support_Fluency,Affect and Relational Support,Fluency,True,1000,1000,0,0,0.0,0.0,0,1.0012052052052052,core,core_retained,True,False
Affect_and_Relational_Support_Human_likeness,Affect and Relational Support,Human-likeness,True,1000,1000,0,0,0.0,0.0,0,0.8085595595595595,core,core_retained,True,False
Affect_and_Relational_Support_Learning_Exploration,Affect and Relational Support,Learning Exploration,True,1000,1000,0,0,0.0,0.0,0,0.7980690690690689,core,core_retained,True,False
Affect_and_Relational_Support_Moral_responsibility,Affect and Relational Support,Moral responsibility,True,1000,128,0,872,0.0,0.872,0,,rare,fewer_than_200_applicable_convos,False,False
Affect_and_Relational_Support_Respond_appropriately_to_explicit_affect_cues,Affect and Relational Support,Respond appropriately to explicit affect cues,True,1000,394,0,606,0.0,0.606,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Affect_and_Relational_Support_Role__Tone_Consistency,Affect and Relational Support,Role & Tone Consistency,True,1000,1000,0,0,0.0,0.0,0,0.8627627627627628,core,core_retained,True,False
Affect_and_Relational_Support_Speaks_encouragingly,Affect and Relational Support,Speaks encouragingly,True,1000,946,0,54,0.0,0.05400000000000005,54,1.0750126447800867,core,core_retained,True,False
Affect_and_Relational_Support_Style_and_Tone,Affect and Relational Support,Style and Tone,True,1000,1000,0,0,0.0,0.0,0,1.004875875875876,core,core_retained,True,False
Affect_and_Relational_Support_Tutor_tone,Affect and Relational Support,Tutor tone,True,1000,1000,0,0,0.0,0.0,0,0.6105265265265265,core,core_retained,True,False
Affect_and_Relational_Support_Warm,Affect and Relational Support,Warm,True,1000,1000,0,0,0.0,0.0,0,0.9226666666666667,core,core_retained,True,False
Affect_and_Relational_Support_Well_intentioned,Affect and Relational Support,Well-intentioned,True,1000,1000,0,0,0.0,0.0,0,0.2558558558558559,core,core_retained,True,False
Alignment_to_Constraints_Academic_Integrity__Honesty,Alignment to Constraints,Academic Integrity & Honesty,True,1000,592,0,408,0.0,0.40800000000000003,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Alignment_to_Constraints_Coherence,Alignment to Constraints,Coherence,True,1000,998,0,2,0.0,0.0020000000000000018,2,1.0355044423180697,core,core_retained,True,False
Alignment_to_Constraints_Conciseness_and_Relevance,Alignment to Constraints,Conciseness and Relevance,True,1000,1000,0,0,0.0,0.0,0,0.8855645645645646,core,core_retained,True,False
Alignment_to_Constraints_Content_Relevance__Scope_Control,Alignment to Constraints,Content Relevance & Scope Control,True,1000,1000,0,0,0.0,0.0,0,0.8466216216216215,core,core_retained,True,False
Alignment_to_Constraints_Coverage,Alignment to Constraints,Coverage,True,1000,946,0,54,0.0,0.05400000000000005,54,0.538475050102957,core,core_retained,True,False
Alignment_to_Constraints_Dont_reveal_the_answer,Alignment to Constraints,Don't reveal the answer,True,1000,1000,0,0,0.0,0.0,0,0.2116026026026026,core,core_retained,True,False
Alignment_to_Constraints_Guides_to_Answer,Alignment to Constraints,Guides to Answer,True,1000,998,0,2,0.0,0.0020000000000000018,2,0.983666030760219,core,core_retained,True,False
Alignment_to_Constraints_Instruction_Following__Task_Completion,Alignment to Constraints,Instruction Following & Task Completion,True,1000,979,0,21,0.0,0.02100000000000002,21,0.9858499970859521,core,core_retained,True,False
Alignment_to_Constraints_Instruction_following,Alignment to Constraints,Instruction following,True,1000,739,0,261,0.0,0.261,0,,conditional,conditional_set_aside_for_subset_efa,False,True
