metric_id,category,subcategory,present_in_all_input_chunks,n_present_rows,n_scored,n_error,n_not_applicable,error_rate_among_present_rows,non_scored_rate_among_present_rows,n_values_mean_imputed,variance_after_imputation,applicability_tier,preprocessing_outcome,retained_for_pooled_efa,analyzed_as_conditional
Accuracy_Basic_Factual_Accuracy,Accuracy,Basic Factual Accuracy,True,1000,1000,0,0,0.0,0.0,0,1.1985735735735736,core,core_retained,True,False
Accuracy_Domain_Knowledge_Accuracy,Accuracy,Domain Knowledge Accuracy,True,1000,1000,0,0,0.0,0.0,0,1.3056806806806807,core,core_retained,True,False
Accuracy_Expresses_Uncertainty,Accuracy,Expresses Uncertainty,True,1000,999,0,1,0.0,0.0010000000000000009,1,0.8934520105691277,core,core_retained,True,False
Accuracy_Expresses_Uncertainty_expresses_uncertainty_when,Accuracy,Expresses Uncertainty,True,1000,998,0,2,0.0,0.0020000000000000018,2,1.2015983919791533,core,core_retained,True,False
Accuracy_Knowledge_Dimension,Accuracy,Knowledge Dimension,True,1000,1000,0,0,0.0,0.0,0,0.8564204204204205,core,core_retained,True,False
Accuracy_No_Contradiction,Accuracy,No Contradiction,True,1000,1000,0,0,0.0,0.0,0,2.0644154154154157,core,core_retained,True,False
Accuracy_No_Inaccuracies,Accuracy,No Inaccuracies,True,1000,1000,0,0,0.0,0.0,0,1.1903893893893895,core,core_retained,True,False
Accuracy_Reasoning_Process_Rigor,Accuracy,Reasoning Process Rigor,True,1000,1000,0,0,0.0,0.0,0,1.1129439439439441,core,core_retained,True,False
Accuracy_Truthfulness,Accuracy,Truthfulness,True,1000,1000,0,0,0.0,0.0,0,1.2135975975975977,core,core_retained,True,False
Adaptivity_Accessibility,Adaptivity,Accessibility,True,1000,375,0,625,0.0,0.625,0,,conditional,conditional_set_aside_for_subset_efa,False,True
Adaptivity_Adapt_to_the_learners_level,Adaptivity,Adapt to the learner’s level,True,1000,1000,0,0,0.0,0.0,0,0.9941851851851852,core,core_retained,True,False
Adaptivity_Adaptability,Adaptivity,Adaptability,True,1000,1000,0,0,0.0,0.0,0,0.9907017017017016,core,core_retained,True,False
Adaptivity_Adapts_to_Needs,Adaptivity,Adapts to Needs,True,1000,1000,0,0,0.0,0.0,0,1.0570320320320319,core,core_retained,True,False
Adaptivity_Appropriate_Response_Length,Adaptivity,Appropriate Response Length,True,1000,1000,0,0,0.0,0.0,0,1.3012202202202203,core,core_retained,True,False
Adaptivity_Background_Based_Material_Recommendation,Adaptivity,Background-Based Material Recommendation,True,1000,930,0,70,0.0,0.06999999999999995,70,0.1021925150957409,core,core_retained,True,False
Adaptivity_Continuous_assessment,Adaptivity,Continuous assessment,True,1000,1000,0,0,0.0,0.0,0,1.181820820820821,core,core_retained,True,False
Adaptivity_Guides_Appropriately,Adaptivity,Guides Appropriately,True,1000,1000,0,0,0.0,0.0,0,1.6513303303303304,core,core_retained,True,False
Adaptivity_Guides_Appropriately_does_not_withhold,Adaptivity,Guides Appropriately,True,1000,1000,0,0,0.0,0.0,0,1.5456966966966965,core,core_retained,True,False
Adaptivity_Instructional_Adaptation_Effectiveness,Adaptivity,Instructional Adaptation Effectiveness,True,1000,1000,0,0,0.0,0.0,0,0.9107097097097095,core,core_retained,True,False
